day	hour	value
1	1	33
1	2	71
1	3	0
1	4	0
1	5	0
1	6	0
1	7	3
1	8	1
1	9	0
1	10	1
1	11	9
1	12	2
1	13	5
1	14	0
1	15	3
1	16	3
1	17	8
1	18	2
1	19	5
1	20	7
1	21	36
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	4
2	12	2
2	13	0
2	14	7
2	15	0
2	16	4
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	1
3	1	9
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	0
3	10	0
3	11	0
3	12	1
3	13	7
3	14	6
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	21
4	11	10
4	12	9
4	13	0
4	14	0
4	15	1
4	16	0
4	17	26
4	18	0
4	19	1
4	20	0
4	21	13
4	22	9
4	23	7
4	24	0
5	1	0
5	2	0
5	3	0
5	4	2
5	5	5
5	6	4
5	7	0
5	8	14
5	9	1
5	10	2
5	11	9
5	12	1
5	13	28
5	14	31
5	15	15
5	16	12
5	17	13
5	18	4
5	19	1
5	20	0
5	21	28
5	22	45
5	23	11
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	6
6	9	1
6	10	30
6	11	33
6	12	0
6	13	10
6	14	63
6	15	16
6	16	3
6	17	3
6	18	30
6	19	10
6	20	8
6	21	3
6	22	4
6	23	1
6	24	0
7	1	3
7	2	0
7	3	0
7	4	0
7	5	0
7	6	19
7	7	2
7	8	0
7	9	2
7	10	1
7	11	34
7	12	4
7	13	5
7	14	24
7	15	0
7	16	12
7	17	11
7	18	1
7	19	49
7	20	12
7	21	23
7	22	48
7	23	60
7	24	33
