from_node,f_type,to_node,t_type,date,times
000011,1,000039,1,2013-10-13 00:00:00.0,0
000031,1,000011,1,2013-10-13 00:00:00.0,0
000037,1,000031,1,2013-10-13 00:00:00.0,0
000037,1,000031,1,2013-10-13 00:00:00.0,0
000037,1,000011,1,2013-10-13 00:00:00.0,0
000031,1,000037,1,2013-10-13 00:00:00.0,0
000031,1,000039,1,2013-10-14 00:00:00.0,0
000037,1,000039,1,2013-10-14 00:00:00.0,1
000040,1,000037,1,2013-10-16 00:00:00.0,0
000043,0,000053,0,2013-10-17 00:00:00.0,0
000052,0,000037,1,2013-10-17 00:00:00.0,0
000052,0,000011,1,2013-10-17 00:00:00.0,0
000053,0,000052,0,2013-10-17 00:00:00.0,0
000053,0,000043,0,2013-10-17 00:00:00.0,0
000053,0,000037,1,2013-10-17 00:00:00.0,0
000052,0,000043,0,2013-10-17 00:00:00.0,0
000052,0,000053,0,2013-10-17 00:00:00.0,0
000031,1,000040,1,2013-10-20 00:00:00.0,0
000062,0,000011,1,2013-10-22 00:00:00.0,0
000062,0,000067,0,2013-10-22 00:00:00.0,0
000067,0,000011,1,2013-10-22 00:00:00.0,0
000067,0,000062,0,2013-10-22 00:00:00.0,0
000011,1,000040,1,2013-10-24 00:00:00.0,0
000043,0,000071,0,2013-10-25 00:00:00.0,0
000071,0,000043,0,2013-10-29 00:00:00.0,0
000071,0,000084,0,2013-10-30 00:00:00.0,0
000084,0,000071,0,2013-10-30 00:00:00.0,0
000084,0,000011,1,2013-10-30 00:00:00.0,0
000071,0,000092,0,2013-10-31 00:00:00.0,0
000037,1,000040,1,2013-10-31 00:00:00.0,0
000031,1,000053,0,2013-11-04 00:00:00.0,0
000080,1,000039,1,2013-11-04 00:00:00.0,0
000037,1,000052,0,2013-11-06 00:00:00.0,0
000037,1,000053,0,2013-11-06 00:00:00.0,0
000071,0,000052,0,2013-11-07 00:00:00.0,0
000052,0,000071,0,2013-11-07 00:00:00.0,0
000106,1,000031,1,2013-11-07 00:00:00.0,0
000106,1,000011,1,2013-11-07 00:00:00.0,0
000106,1,000037,1,2013-11-07 00:00:00.0,0
000099,0,000031,1,2013-11-07 00:00:00.0,0
000099,0,000011,1,2013-11-07 00:00:00.0,0
000099,0,000037,1,2013-11-07 00:00:00.0,0
000099,0,000106,1,2013-11-07 00:00:00.0,0
000071,0,000011,1,2013-11-08 00:00:00.0,0
000037,1,000106,1,2013-11-08 00:00:00.0,0
000031,1,000106,1,2013-11-09 00:00:00.0,0
000040,1,000106,1,2013-11-09 00:00:00.0,0
000040,1,000099,0,2013-11-09 00:00:00.0,0
000040,1,000039,1,2013-11-09 00:00:00.0,0
000092,0,000056,0,2013-11-15 00:00:00.0,0
000056,0,000126,0,2013-11-15 00:00:00.0,0
000056,0,000092,0,2013-11-15 00:00:00.0,0
000056,0,000043,0,2013-11-15 00:00:00.0,0
000043,0,000056,0,2013-11-15 00:00:00.0,0
000052,0,000056,0,2013-11-15 00:00:00.0,0
000043,0,000037,1,2013-11-15 00:00:00.0,0
000043,0,000084,0,2013-11-15 00:00:00.0,0
000056,0,000084,0,2013-11-15 00:00:00.0,0
000084,0,000037,1,2013-11-15 00:00:00.0,0
000043,0,000052,0,2013-11-15 00:00:00.0,0
000084,0,000043,0,2013-11-15 00:00:00.0,0
000052,0,000084,0,2013-11-15 00:00:00.0,0
000080,1,000011,1,2013-11-16 00:00:00.0,0
000080,1,000020,0,2013-11-16 00:00:00.0,0
000080,1,000040,1,2013-11-16 00:00:00.0,0
000126,0,000037,1,2013-11-17 00:00:00.0,0
000056,0,000052,0,2013-11-18 00:00:00.0,0
000092,0,000084,0,2013-11-18 00:00:00.0,0
000037,1,000126,0,2013-11-18 00:00:00.0,0
000037,1,000084,0,2013-11-18 00:00:00.0,0
000084,0,000092,0,2013-11-19 00:00:00.0,0
000092,0,000043,0,2013-11-19 00:00:00.0,0
000092,0,000052,0,2013-11-19 00:00:00.0,0
000031,1,000099,0,2013-11-20 00:00:00.0,0
000052,0,000173,0,2013-11-21 00:00:00.0,0
000182,1,000126,0,2013-11-21 00:00:00.0,0
000173,0,000052,0,2013-11-21 00:00:00.0,0
000221,1,000106,1,2013-11-24 00:00:00.0,0
000031,1,000132,0,2013-11-25 00:00:00.0,0
000040,1,000132,0,2013-11-25 00:00:00.0,0
000132,0,000039,1,2013-11-25 00:00:00.0,0
000132,0,000011,1,2013-11-25 00:00:00.0,0
000132,0,000031,1,2013-11-25 00:00:00.0,0
000126,0,000084,0,2013-11-26 00:00:00.0,0
000192,0,000031,1,2013-11-27 00:00:00.0,0
000192,0,000037,1,2013-11-27 00:00:00.0,0
000192,0,000011,1,2013-11-27 00:00:00.0,0
000230,0,000011,1,2013-11-27 00:00:00.0,0
000080,1,000031,1,2013-11-28 00:00:00.0,0
000192,0,000039,1,2013-11-28 00:00:00.0,0
000126,0,000091,0,2013-12-02 00:00:00.0,0
000126,0,000056,0,2013-12-02 00:00:00.0,0
000126,0,000011,1,2013-12-02 00:00:00.0,0
000126,0,000092,0,2013-12-02 00:00:00.0,0
000092,0,000126,0,2013-12-02 00:00:00.0,0
000126,0,000052,0,2013-12-02 00:00:00.0,0
000052,0,000126,0,2013-12-03 00:00:00.0,0
000011,1,000246,1,2013-12-04 00:00:00.0,0
000052,0,000253,2,2013-12-05 00:00:00.0,0
000043,0,000253,2,2013-12-05 00:00:00.0,0
000255,0,000052,0,2013-12-05 00:00:00.0,0
000253,2,000052,0,2013-12-05 00:00:00.0,0
000253,2,000043,0,2013-12-05 00:00:00.0,0
000255,0,000253,2,2013-12-05 00:00:00.0,0
000253,2,000250,0,2013-12-05 00:00:00.0,0
000126,0,000253,2,2013-12-05 00:00:00.0,0
000039,1,000037,1,2013-12-06 00:00:00.0,0
000039,1,000132,0,2013-12-06 00:00:00.0,0
000267,2,000084,0,2013-12-06 00:00:00.0,0
000259,0,000126,0,2013-12-06 00:00:00.0,0
000259,0,000043,0,2013-12-06 00:00:00.0,0
000132,0,000021,0,2013-12-07 00:00:00.0,0
000132,0,000040,1,2013-12-07 00:00:00.0,0
000037,1,000132,0,2013-12-07 00:00:00.0,0
000043,0,000259,0,2013-12-09 00:00:00.0,0
000039,1,000040,1,2013-12-10 00:00:00.0,0
000246,1,000106,1,2013-12-10 00:00:00.0,0
000246,1,000132,0,2013-12-10 00:00:00.0,0
000246,1,000173,0,2013-12-10 00:00:00.0,0
000246,1,000253,2,2013-12-10 00:00:00.0,0
000253,2,000274,0,2013-12-11 00:00:00.0,0
000274,0,000126,0,2013-12-11 00:00:00.0,0
000274,0,000071,0,2013-12-11 00:00:00.0,0
000274,0,000043,0,2013-12-11 00:00:00.0,0
000274,0,000052,0,2013-12-11 00:00:00.0,0
000274,0,000037,1,2013-12-11 00:00:00.0,0
000274,0,000084,0,2013-12-11 00:00:00.0,0
000132,0,000037,1,2013-12-12 00:00:00.0,0
000132,0,000080,1,2013-12-12 00:00:00.0,0
000106,1,000221,1,2013-12-15 00:00:00.0,0
000132,0,000279,2,2013-12-15 00:00:00.0,0
000011,1,000132,0,2013-12-15 00:00:00.0,0
000011,1,000031,1,2013-12-15 00:00:00.0,0
000031,1,000279,2,2013-12-15 00:00:00.0,0
000279,2,000037,1,2013-12-15 00:00:00.0,1
000279,2,000031,1,2013-12-15 00:00:00.0,2
000037,1,000043,0,2013-12-16 00:00:00.0,0
000037,1,000274,0,2013-12-16 00:00:00.0,0
000283,0,000126,0,2013-12-17 00:00:00.0,0
000126,0,000053,0,2013-12-17 00:00:00.0,0
000132,0,000246,1,2013-12-18 00:00:00.0,0
000043,0,000092,0,2013-12-25 00:00:00.0,0
000043,0,000126,0,2013-12-25 00:00:00.0,0
000092,0,000053,0,2013-12-25 00:00:00.0,0
000053,0,000250,0,2013-12-25 00:00:00.0,0
000053,0,000092,0,2013-12-25 00:00:00.0,0
000043,0,000255,0,2013-12-25 00:00:00.0,0
000255,0,000037,1,2013-12-25 00:00:00.0,0
000255,0,000043,0,2013-12-25 00:00:00.0,0
000255,0,000084,0,2013-12-25 00:00:00.0,0
000255,0,000126,0,2013-12-25 00:00:00.0,0
000255,0,000053,0,2013-12-25 00:00:00.0,0
000255,0,000053,0,2013-12-25 00:00:00.0,0
000255,0,000053,0,2013-12-25 00:00:00.0,0
000126,0,000250,0,2013-12-26 00:00:00.0,0
000037,1,000255,0,2013-12-26 00:00:00.0,0
000419,0,000132,0,2013-12-29 00:00:00.0,0
000132,0,000419,0,2013-12-29 00:00:00.0,0
000246,1,000039,1,2014-01-01 00:00:00.0,0
000491,0,000446,0,2014-01-06 00:00:00.0,0
000491,0,000455,0,2014-01-06 00:00:00.0,0
000446,0,000462,0,2014-01-06 00:00:00.0,0
000369,1,000482,0,2014-01-06 00:00:00.0,0
000482,0,000369,1,2014-01-06 00:00:00.0,1
000092,0,000446,0,2014-01-06 00:00:00.0,0
000472,0,000446,0,2014-01-06 00:00:00.0,0
000472,0,000462,0,2014-01-06 00:00:00.0,0
000517,0,000491,0,2014-01-07 00:00:00.0,0
000446,0,000507,0,2014-01-07 00:00:00.0,0
000446,0,000465,0,2014-01-07 00:00:00.0,0
000446,0,000492,0,2014-01-07 00:00:00.0,0
000446,0,000501,0,2014-01-07 00:00:00.0,0
000446,0,000433,0,2014-01-07 00:00:00.0,0
000507,0,000465,0,2014-01-07 00:00:00.0,0
000465,0,000507,0,2014-01-07 00:00:00.0,0
000507,0,000446,0,2014-01-07 00:00:00.0,0
000465,0,000446,0,2014-01-07 00:00:00.0,0
000433,0,000446,0,2014-01-07 00:00:00.0,0
000501,0,000462,0,2014-01-07 00:00:00.0,0
000501,0,000492,0,2014-01-07 00:00:00.0,0
000492,0,000501,0,2014-01-07 00:00:00.0,0
000433,0,000507,0,2014-01-07 00:00:00.0,0
