time	date	device
10:52:00	2014-01-30	2
10:52:00	2014-01-30	2
10:52:00	2014-01-30	2
10:52:00	2014-01-30	2
10:52:00	2014-01-30	2
10:52:00	2014-01-30	2
10:52:00	2014-01-30	2
10:52:00	2014-01-30	2
10:57:00	2014-01-30	2
10:57:00	2014-01-30	2
10:57:00	2014-01-30	2
10:57:00	2014-01-30	2
10:57:00	2014-01-30	2
10:57:00	2014-01-30	2
10:57:00	2014-01-30	2
10:57:00	2014-01-30	2
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
10:37:00	2014-01-31	1
14:47:00	2014-01-31	4
14:48:00	2014-01-31	4
14:51:00	2014-01-31	3
14:51:00	2014-01-31	3
14:51:00	2014-01-31	3
14:51:00	2014-01-31	3
14:51:00	2014-01-31	4
14:53:00	2014-01-31	4
15:00:00	2014-01-31	4
15:04:00	2014-01-31	4
15:14:00	2014-01-31	4
15:14:00	2014-01-31	4
15:23:00	2014-01-31	4
15:27:00	2014-01-31	4
15:30:00	2014-01-31	4
15:30:00	2014-01-31	4
15:30:00	2014-01-31	4
15:30:00	2014-01-31	4
15:30:00	2014-01-31	4
15:30:00	2014-01-31	4
15:32:00	2014-01-31	4
15:32:00	2014-01-31	4
15:32:00	2014-01-31	4
15:32:00	2014-01-31	4
15:32:00	2014-01-31	4
15:34:00	2014-01-31	4
15:39:00	2014-01-31	4
15:39:00	2014-01-31	4
15:39:00	2014-01-31	4
15:39:00	2014-01-31	1
16:11:00	2014-01-31	2
16:11:00	2014-01-31	2
16:11:00	2014-01-31	2
16:11:00	2014-01-31	2
16:11:00	2014-01-31	2
16:11:00	2014-01-31	2
16:11:00	2014-01-31	2
16:11:00	2014-01-31	2
16:54:00	2014-01-31	4
16:54:00	2014-01-31	4
16:54:00	2014-01-31	4
17:24:00	2014-01-31	4
17:24:00	2014-01-31	4
17:24:00	2014-01-31	4
17:34:00	2014-01-31	4
17:34:00	2014-01-31	4
17:34:00	2014-01-31	4
19:37:00	2014-01-31	0
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:25:00	2014-01-01	1
09:38:00	2014-01-01	4
09:38:00	2014-01-01	4
09:49:00	2014-01-01	4
09:54:00	2014-01-01	4
09:55:00	2014-01-01	4
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
09:59:00	2014-01-01	1
